ayah_id,ayah_text,normalized_text
1,بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم
2,الحمد لله رب العالمين,الحمد لله رب العالمين
3,الرحمن الرحيم,الرحمن الرحيم
4,مالك يوم الدين,مالك يوم الدين
5,إياك نعبد وإياك نستعين,اياك نعبد واياك نستعين
6,اهدنا الصراط المستقيم,اهدنا الصراط المستقيم
7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,صراط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين
8,بسم الله الرحمن الرحيم الم,بسم الله الرحمن الرحيم الم
9,ذلك الكتاب لا ريب ۛ فيه ۛ هدى للمتقين,ذلك الكتاب لا ريب ۛ فيه ۛ هدي للمتقين
10,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,الذين يومنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون
11,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,والذين يومنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون
12,أولئك على هدى من ربهم ۖ وأولئك هم المفلحون,اوليك علي هدي من ربهم ۖ واوليك هم المفلحون
13,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,ان الذين كفروا سواء عليهم اانذرتهم ام لم تنذرهم لا يومنون
14,ختم الله على قلوبهم وعلى سمعهم ۖ وعلى أبصارهم غشاوة ۖ ولهم عذاب عظيم,ختم الله علي قلوبهم وعلي سمعهم ۖ وعلي ابصارهم غشاوه ۖ ولهم عذاب عظيم
15,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,ومن الناس من يقول امنا بالله وباليوم الاخر وما هم بمومنين
16,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,يخادعون الله والذين امنوا وما يخدعون الا انفسهم وما يشعرون
17,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب أليم بما كانوا يكذبون,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب اليم بما كانوا يكذبون
18,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون
19,ألا إنهم هم المفسدون ولكن لا يشعرون,الا انهم هم المفسدون ولكن لا يشعرون
20,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون,واذا قيل لهم امنوا كما امن الناس قالوا انومن كما امن السفهاء ۗ الا انهم هم السفهاء ولكن لا يعلمون
21,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,واذا لقوا الذين امنوا قالوا امنا واذا خلوا الي شياطينهم قالوا انا معكم انما نحن مستهزيون
22,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,الله يستهزي بهم ويمدهم في طغيانهم يعمهون
23,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,اوليك الذين اشتروا الضلاله بالهدي فما ربحت تجارتهم وما كانوا مهتدين
24,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
25,صم بكم عمي فهم لا يرجعون,صم بكم عمي فهم لا يرجعون
26,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين,او كصيب من السماء فيه ظلمات ورعد وبرق يجعلون اصابعهم في اذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين
27,يكاد البرق يخطف أبصارهم ۖ كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وأبصارهم ۚ إن الله على كل شيء قدير,يكاد البرق يخطف ابصارهم ۖ كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وابصارهم ۚ ان الله علي كل شيء قدير
28,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,يا ايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
29,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله أندادا وأنتم تعلمون,الذي جعل لكم الارض فراشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله اندادا وانتم تعلمون
30,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,وان كنتم في ريب مما نزلنا علي عبدنا فاتوا بسوره من مثله وادعوا شهداءكم من دون الله ان كنتم صادقين
31,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة ۖ أعدت للكافرين,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجاره ۖ اعدت للكافرين
32,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار ۖ كلما رزقوا منها من ثمرة رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ وأتوا به متشابها ۖ ولهم فيها أزواج مطهرة ۖ وهم فيها خالدون,وبشر الذين امنوا وعملوا الصالحات ان لهم جنات تجري من تحتها الانهار ۖ كلما رزقوا منها من ثمره رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ واتوا به متشابها ۖ ولهم فيها ازواج مطهره ۖ وهم فيها خالدون
33,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها ۚ فأما الذين آمنوا فيعلمون أنه الحق من ربهم ۖ وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به إلا الفاسقين,ان الله لا يستحيي ان يضرب مثلا ما بعوضه فما فوقها ۚ فاما الذين امنوا فيعلمون انه الحق من ربهم ۖ واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به الا الفاسقين
34,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض ۚ أولئك هم الخاسرون,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض ۚ اوليك هم الخاسرون
35,كيف تكفرون بالله وكنتم أمواتا فأحياكم ۖ ثم يميتكم ثم يحييكم ثم إليه ترجعون,كيف تكفرون بالله وكنتم امواتا فاحياكم ۖ ثم يميتكم ثم يحييكم ثم اليه ترجعون
36,هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سماوات ۚ وهو بكل شيء عليم,هو الذي خلق لكم ما في الارض جميعا ثم استوي الي السماء فسواهن سبع سماوات ۚ وهو بكل شيء عليم
37,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة ۖ قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال إني أعلم ما لا تعلمون,واذ قال ربك للملايكه اني جاعل في الارض خليفه ۖ قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال اني اعلم ما لا تعلمون
38,وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين,وعلم ادم الاسماء كلها ثم عرضهم علي الملايكه فقال انبيوني باسماء هولاء ان كنتم صادقين
